Elements:
FluidElement$Acoustic1D$5 5.49688e-07
FluidElement$Acoustic1D$5$Axial 6.35318e-07
SolidElement$Isotropic1D$5 2.39117e-06
SolidElement$Isotropic1D$5$Axial 2.69836e-06
SolidElement$TransverselyIsotropic1D$5 2.7442e-06
SolidElement$TransverselyIsotropic1D$5$Axial 3.14499e-06

GLL points:
FluidPoint$Mass1D$5 1.47126e-08
SolidPoint$Mass1D$5 1.61796e-08
SolidPoint$Mass1D$5+FluidPoint$Mass1D$5 3.1076e-08
