       MPI_RANK          TOTAL         SOURCE      STIFFNESS      MASS_TERM     BOUNDARIES     TIME_MARCH       MPI_COMM    WAVE_OUTPUT       SCANNING
              0       0.972354      0.0003195        0.15874      0.0157996      0.0008319      0.0204598       0.279655       0.477653      0.0003112
              1       0.943321      0.0125062       0.212927      0.0176781       0.002632       0.026751       0.065485       0.583102      0.0003794
              2       0.940561      0.0002885       0.174458      0.0131354      0.0026406      0.0198152       0.217086        0.49555      0.0002559
              3       0.936021       0.000278       0.179478      0.0133977      0.0026189      0.0210323        0.20002        0.50037      0.0002836
              4       0.929502      0.0002872        0.13313      0.0126893      0.0011394      0.0177961       0.332567       0.416858       0.000331
              5       0.933778      0.0003126       0.164742       0.017366      0.0011917      0.0225022       0.218403       0.490128      0.0003534
              6       0.936254      0.0003009       0.157538      0.0158991      0.0011963      0.0191343        0.29497       0.430327       0.000334
              7       0.946271      0.0003534        0.14741      0.0129269      0.0032371      0.0184549        0.34223       0.405621      0.0002889

