#name network latitude longitude useless depth
STA_-50_10 A -50 10 0 0
STA_-50_20 A -50 20 0 0
STA_-50_30 A -50 30 0 0
STA_-50_40 A -50 40 0 0
STA_-50_50 A -50 50 0 0
STA_-50_60 A -50 60 0 0
STA_-50_70 A -50 70 0 0
STA_-50_80 A -50 80 0 0
STA_-50_90 A -50 90 0 0
STA_-50_100 A -50 100 0 0
STA_-50_110 A -50 110 0 0
STA_-50_120 A -50 120 0 0
STA_-50_130 A -50 130 0 0
STA_-50_140 A -50 140 0 0
STA_-50_150 A -50 150 0 0
STA_-50_160 A -50 160 0 0
STA_-50_170 A -50 170 0 0
STA_-50_180 A -50 180 0 0
STA_-40_-180 A -40 -180 0 0
STA_-40_-170 A -40 -170 0 0
STA_-40_-160 A -40 -160 0 0
STA_-40_-150 A -40 -150 0 0
STA_-40_-140 A -40 -140 0 0
STA_-40_-130 A -40 -130 0 0
STA_-40_-120 A -40 -120 0 0
STA_-40_-110 A -40 -110 0 0
STA_-40_-100 A -40 -100 0 0
STA_-40_-90 A -40 -90 0 0
STA_-40_-80 A -40 -80 0 0
STA_-40_-70 A -40 -70 0 0
STA_-40_-60 A -40 -60 0 0
STA_-40_-50 A -40 -50 0 0
STA_-40_-40 A -40 -40 0 0
STA_-40_-30 A -40 -30 0 0
STA_-40_-20 A -40 -20 0 0
STA_-40_-10 A -40 -10 0 0
STA_-40_0 A -40 0 0 0
STA_-40_10 A -40 10 0 0
STA_-40_20 A -40 20 0 0
STA_-40_30 A -40 30 0 0
STA_-40_40 A -40 40 0 0
STA_-40_50 A -40 50 0 0
STA_-40_60 A -40 60 0 0
STA_-40_70 A -40 70 0 0
STA_-40_80 A -40 80 0 0
STA_-40_90 A -40 90 0 0
STA_-40_100 A -40 100 0 0
STA_-40_110 A -40 110 0 0
STA_-40_120 A -40 120 0 0
STA_-40_130 A -40 130 0 0
STA_-40_140 A -40 140 0 0
STA_-40_150 A -40 150 0 0
STA_-40_160 A -40 160 0 0
STA_-40_170 A -40 170 0 0
STA_-40_180 A -40 180 0 0
STA_-30_-180 A -30 -180 0 0
STA_-30_-170 A -30 -170 0 0
STA_-30_-160 A -30 -160 0 0
STA_-30_-150 A -30 -150 0 0
STA_-30_-140 A -30 -140 0 0
STA_-30_-130 A -30 -130 0 0
